timestamp,gas,temperature,humidity,magnitude,protocol
2025-10-06 12:04:48,725.83,28.0,72.0,5.31,HTTP
2025-10-06 12:04:52,725.83,28.0,72.0,5.31,HTTP
2025-10-06 12:04:57,724.02,28.0,72.0,5.33,HTTP
2025-10-06 12:05:02,725.06,28.0,72.0,5.25,HTTP
2025-10-06 12:05:07,725.06,28.0,72.0,5.25,HTTP
2025-10-06 12:05:12,725.06,28.0,72.0,5.35,HTTP
2025-10-06 12:05:17,725.06,28.0,72.0,5.35,HTTP
2025-10-06 12:05:22,724.93,28.5,72.0,5.37,HTTP
2025-10-06 12:05:27,724.93,28.5,72.0,5.37,HTTP
2025-10-06 12:05:32,720.93,28.5,72.0,5.35,HTTP
2025-10-06 12:05:37,720.93,28.5,72.0,5.35,HTTP
2025-10-06 12:05:42,719.12,28.5,72.0,5.36,HTTP
2025-10-06 12:05:47,719.12,28.5,72.0,5.36,HTTP
2025-10-06 12:05:52,718.35,28.5,72.0,5.31,HTTP
2025-10-06 12:05:57,718.35,28.5,72.0,5.31,HTTP
2025-10-06 12:06:02,716.42,28.5,72.0,5.24,HTTP
2025-10-06 12:06:07,716.42,28.5,72.0,5.24,HTTP
2025-10-06 12:06:12,715.9,28.5,72.0,5.27,HTTP
2025-10-06 12:06:17,715.9,28.5,72.0,5.27,HTTP
2025-10-06 12:06:22,715.26,28.5,72.0,5.18,HTTP
2025-10-06 12:06:27,715.26,28.5,72.0,5.18,HTTP
2025-10-06 12:06:32,713.46,28.5,72.0,5.13,HTTP
2025-10-06 12:06:37,713.46,28.5,72.0,5.13,HTTP
2025-10-06 12:06:49,0.0,0.0,0.0,0.0,HTTP
2025-10-06 12:06:54,717.06,28.5,72.0,5.3,HTTP
2025-10-06 12:06:59,717.06,28.5,72.0,5.3,HTTP
2025-10-06 12:07:04,717.96,28.5,72.0,5.28,HTTP
2025-10-06 12:07:09,717.96,28.5,72.0,5.28,HTTP
2025-10-06 12:07:14,717.83,28.5,72.0,5.28,HTTP
2025-10-06 12:07:19,717.83,28.5,72.0,5.28,HTTP
2025-10-06 12:07:24,717.83,28.5,72.0,5.31,HTTP
2025-10-06 12:07:29,717.83,28.5,72.0,5.31,HTTP
2025-10-06 12:07:34,718.22,28.5,72.0,5.34,HTTP
2025-10-06 12:07:39,718.22,28.5,72.0,5.34,HTTP
2025-10-06 12:07:44,718.73,28.5,72.0,5.33,HTTP
2025-10-06 12:07:49,718.73,28.5,72.0,5.33,HTTP
2025-10-06 12:07:54,719.25,28.5,72.0,5.37,HTTP
2025-10-06 12:07:59,719.25,28.5,72.0,5.37,HTTP
2025-10-06 12:08:04,715.9,28.5,72.0,5.3,HTTP
2025-10-06 12:08:09,715.9,28.5,72.0,5.3,HTTP
2025-10-06 12:08:14,721.83,28.5,72.0,5.39,HTTP
2025-10-06 12:08:19,721.83,28.5,72.0,5.39,HTTP
2025-10-06 12:08:24,718.86,28.1,72.0,5.33,HTTP
2025-10-06 12:08:29,718.86,28.1,72.0,5.33,HTTP
2025-10-06 12:08:34,718.35,28.0,72.0,5.34,HTTP
2025-10-06 12:08:39,718.35,28.0,72.0,5.34,HTTP
2025-10-06 12:08:44,717.96,28.0,72.0,5.34,HTTP
2025-10-06 12:08:49,717.96,28.0,72.0,5.34,HTTP
2025-10-06 12:08:54,719.12,28.0,72.0,5.35,HTTP
2025-10-06 12:08:59,719.12,28.0,72.0,5.35,HTTP
2025-10-06 12:09:04,720.41,28.0,72.0,5.58,HTTP
2025-10-06 12:09:09,720.41,28.0,72.0,5.58,HTTP
2025-10-06 12:09:14,720.28,28.0,72.0,5.35,HTTP
2025-10-06 12:09:19,720.28,28.0,72.0,5.35,HTTP
2025-10-06 12:09:24,722.22,28.0,72.0,5.43,HTTP
2025-10-06 12:09:29,722.22,28.0,72.0,5.43,HTTP
2025-10-06 12:09:34,723.76,28.0,72.0,5.21,HTTP
2025-10-06 12:09:39,723.76,28.0,72.0,5.21,HTTP
2025-10-06 12:09:44,728.68,28.0,72.0,5.2,HTTP
2025-10-06 12:09:49,728.68,28.0,72.0,5.2,HTTP
2025-10-06 12:09:54,724.28,28.0,72.0,5.22,HTTP
2025-10-06 12:09:59,724.28,28.0,72.0,5.22,HTTP
2025-10-06 12:10:04,723.64,28.0,72.0,5.22,HTTP
2025-10-06 12:10:09,723.64,28.0,72.0,5.22,HTTP
2025-10-06 12:10:14,722.6,28.0,72.0,5.23,HTTP
2025-10-06 12:10:19,722.6,28.0,72.0,5.23,HTTP
2025-10-06 12:10:24,722.22,28.0,72.0,5.29,HTTP
2025-10-06 12:10:29,722.22,28.0,72.0,5.29,HTTP
2025-10-06 12:10:34,722.34,28.0,72.0,5.32,HTTP
2025-10-06 12:10:39,722.34,28.0,72.0,5.32,HTTP
2025-10-06 12:10:44,722.09,28.0,72.0,5.27,HTTP
2025-10-06 12:10:49,722.09,28.0,72.0,5.27,HTTP
2025-10-06 12:10:54,723.64,28.0,72.0,5.37,HTTP
2025-10-06 12:10:59,723.64,28.0,72.0,5.37,HTTP
2025-10-06 12:11:04,724.54,28.0,73.0,5.38,HTTP
2025-10-06 12:11:09,724.54,28.0,73.0,5.38,HTTP
2025-10-06 12:11:14,724.93,28.0,73.0,5.35,HTTP
2025-10-06 12:11:19,724.93,28.0,73.0,5.35,HTTP
2025-10-06 12:11:24,726.48,28.0,73.0,5.29,HTTP
2025-10-06 12:11:29,726.48,28.0,73.0,5.29,HTTP
2025-10-06 12:11:34,727.13,28.0,72.0,5.34,HTTP
2025-10-06 12:11:39,727.13,28.0,72.0,5.34,HTTP
2025-10-06 12:11:44,727.9,28.0,72.0,5.34,HTTP
